Names,Year,Total,Gender,Type
Daniel,1964,395,Boy,Spain
Dylan,1964,0,Boy,Spain
Aaron,1964,0,Boy,Spain
Matthew,1964,89,Boy,Spain
David,1964,936,Boy,Spain
Alex,1964,0,Boy,Spain
Liam,1964,111,Boy,Spain
Samuel,1964,18,Boy,Spain
Ethan,1964,0,Boy,Spain
Noah,1964,0,Boy,Spain
Alexander,1964,19,Boy,Spain
Benjamin,1964,13,Boy,Spain
Christopher,1964,289,Boy,Spain
Alan,1964,245,Boy,Spain
Martin,1964,849,Boy,Spain
Leon,1964,0,Boy,Spain
Oliver,1964,69,Boy,Spain
Leo,1964,28,Boy,Spain
Lucas,1964,0,Boy,Spain
Jacob,1964,0,Boy,Spain
Tomas,1964,7,Boy,Spain
Isaac,1964,3,Boy,Spain
Luca,1964,0,Boy,Spain
Sebastian,1964,0,Boy,Spain
Simon,1964,36,Boy,Spain
Caleb,1964,0,Boy,Spain
Adrian,1964,75,Boy,Spain
Ian,1964,86,Boy,Spain
Gabriel,1964,57,Boy,Spain
Hugo,1964,0,Boy,Spain
Emmanuel,1964,0,Boy,Spain
Nicolas,1964,0,Boy,Spain
Marco,1964,4,Boy,Spain
Milo,1964,0,Boy,Spain
Diego,1964,0,Boy,Spain
Mario,1964,3,Boy,Spain
Antonio,1964,0,Boy,Spain
Leonardo,1964,0,Boy,Spain
Julian,1964,6,Boy,Spain
Marcos,1964,0,Boy,Spain
Miguel,1964,0,Boy,Spain
Pedro,1964,0,Boy,Spain
Damian,1964,56,Boy,Spain
Carlos,1964,0,Boy,Spain
Elias,1964,0,Boy,Spain
Luis,1964,0,Boy,Spain
Rafael,1964,0,Boy,Spain
Salvador,1964,0,Boy,Spain
Axel,1964,0,Boy,Spain
Bruno,1964,0,Boy,Spain
Juan,1964,0,Boy,Spain
Lorenzo,1964,3,Boy,Spain
Alejandro,1964,0,Boy,Spain
Dante,1964,0,Boy,Spain
Felipe,1964,0,Boy,Spain
Eduardo,1964,0,Boy,Spain
Enzo,1964,0,Boy,Spain
Manuel,1964,0,Boy,Spain
Mateo,1964,0,Boy,Spain
Rodrigo,1964,0,Boy,Spain
Andrea,1964,9,Boy,Spain
Angel,1964,0,Boy,Spain
Bastian,1964,0,Boy,Spain
Javier,1964,0,Boy,Spain
Joaquin,1964,0,Boy,Spain
Jules,1964,0,Boy,Spain
Matias,1964,0,Boy,Spain
Noa,1964,0,Boy,Spain
Pablo,1964,0,Boy,Spain
Santiago,1964,0,Boy,Spain
Valentin,1964,0,Boy,Spain
Valentine,1964,13,Boy,Spain
Emilio,1964,0,Boy,Spain
Francisco,1964,0,Boy,Spain
Thiago,1964,0,Boy,Spain
Valentino,1964,0,Boy,Spain
Alvaro,1964,0,Boy,Spain
Gael,1964,0,Boy,Spain
Jorge,1964,0,Boy,Spain
Maximo,1964,0,Boy,Spain
Santino,1964,0,Boy,Spain
Daniel,1965,344,Boy,Spain
Dylan,1965,0,Boy,Spain
Aaron,1965,4,Boy,Spain
Matthew,1965,129,Boy,Spain
David,1965,1102,Boy,Spain
Alex,1965,0,Boy,Spain
Liam,1965,103,Boy,Spain
Samuel,1965,27,Boy,Spain
Ethan,1965,0,Boy,Spain
Noah,1965,0,Boy,Spain
Alexander,1965,23,Boy,Spain
Benjamin,1965,12,Boy,Spain
Christopher,1965,270,Boy,Spain
Alan,1965,316,Boy,Spain
Martin,1965,843,Boy,Spain
Leon,1965,0,Boy,Spain
Oliver,1965,68,Boy,Spain
Leo,1965,35,Boy,Spain
Lucas,1965,0,Boy,Spain
Jacob,1965,0,Boy,Spain
Tomas,1965,6,Boy,Spain
Isaac,1965,0,Boy,Spain
Luca,1965,0,Boy,Spain
Sebastian,1965,0,Boy,Spain
Simon,1965,60,Boy,Spain
Caleb,1965,0,Boy,Spain
Adrian,1965,82,Boy,Spain
Ian,1965,110,Boy,Spain
Gabriel,1965,54,Boy,Spain
Hugo,1965,0,Boy,Spain
Emmanuel,1965,0,Boy,Spain
Nicolas,1965,0,Boy,Spain
Marco,1965,0,Boy,Spain
Milo,1965,0,Boy,Spain
Diego,1965,0,Boy,Spain
Mario,1965,0,Boy,Spain
Antonio,1965,0,Boy,Spain
Leonardo,1965,0,Boy,Spain
Julian,1965,6,Boy,Spain
Marcos,1965,0,Boy,Spain
Miguel,1965,0,Boy,Spain
Pedro,1965,0,Boy,Spain
Damian,1965,86,Boy,Spain
Carlos,1965,0,Boy,Spain
Elias,1965,0,Boy,Spain
Luis,1965,0,Boy,Spain
Rafael,1965,0,Boy,Spain
Salvador,1965,0,Boy,Spain
Axel,1965,0,Boy,Spain
Bruno,1965,0,Boy,Spain
Juan,1965,0,Boy,Spain
Lorenzo,1965,0,Boy,Spain
Alejandro,1965,0,Boy,Spain
Dante,1965,0,Boy,Spain
Felipe,1965,0,Boy,Spain
Eduardo,1965,0,Boy,Spain
Enzo,1965,0,Boy,Spain
Manuel,1965,0,Boy,Spain
Mateo,1965,0,Boy,Spain
Rodrigo,1965,0,Boy,Spain
Andrea,1965,0,Boy,Spain
Angel,1965,0,Boy,Spain
Bastian,1965,0,Boy,Spain
Javier,1965,0,Boy,Spain
Joaquin,1965,0,Boy,Spain
Jules,1965,0,Boy,Spain
Matias,1965,0,Boy,Spain
Noa,1965,0,Boy,Spain
Pablo,1965,0,Boy,Spain
Santiago,1965,0,Boy,Spain
Valentin,1965,0,Boy,Spain
Valentine,1965,18,Boy,Spain
Emilio,1965,0,Boy,Spain
Francisco,1965,0,Boy,Spain
Thiago,1965,0,Boy,Spain
Valentino,1965,0,Boy,Spain
Alvaro,1965,0,Boy,Spain
Gael,1965,0,Boy,Spain
Jorge,1965,0,Boy,Spain
Maximo,1965,0,Boy,Spain
Santino,1965,0,Boy,Spain
Daniel,1966,337,Boy,Spain
Dylan,1966,0,Boy,Spain
Aaron,1966,9,Boy,Spain
Matthew,1966,120,Boy,Spain
David,1966,992,Boy,Spain
Alex,1966,0,Boy,Spain
Liam,1966,110,Boy,Spain
Samuel,1966,25,Boy,Spain
Ethan,1966,0,Boy,Spain
Noah,1966,0,Boy,Spain
Alexander,1966,24,Boy,Spain
Benjamin,1966,7,Boy,Spain
Christopher,1966,280,Boy,Spain
Alan,1966,338,Boy,Spain
Martin,1966,814,Boy,Spain
Leon,1966,0,Boy,Spain
Oliver,1966,65,Boy,Spain
Leo,1966,38,Boy,Spain
Lucas,1966,0,Boy,Spain
Jacob,1966,0,Boy,Spain
Tomas,1966,8,Boy,Spain
Isaac,1966,0,Boy,Spain
Luca,1966,0,Boy,Spain
Sebastian,1966,0,Boy,Spain
Simon,1966,67,Boy,Spain
Caleb,1966,0,Boy,Spain
Adrian,1966,63,Boy,Spain
Ian,1966,131,Boy,Spain
Gabriel,1966,28,Boy,Spain
Hugo,1966,0,Boy,Spain
Emmanuel,1966,3,Boy,Spain
Nicolas,1966,0,Boy,Spain
Marco,1966,0,Boy,Spain
Milo,1966,0,Boy,Spain
Diego,1966,0,Boy,Spain
Mario,1966,0,Boy,Spain
Antonio,1966,0,Boy,Spain
Leonardo,1966,0,Boy,Spain
Julian,1966,11,Boy,Spain
Marcos,1966,0,Boy,Spain
Miguel,1966,0,Boy,Spain
Pedro,1966,0,Boy,Spain
Damian,1966,74,Boy,Spain
Carlos,1966,0,Boy,Spain
Elias,1966,0,Boy,Spain
Luis,1966,0,Boy,Spain
Rafael,1966,0,Boy,Spain
Salvador,1966,0,Boy,Spain
Axel,1966,0,Boy,Spain
Bruno,1966,0,Boy,Spain
Juan,1966,0,Boy,Spain
Lorenzo,1966,0,Boy,Spain
Alejandro,1966,0,Boy,Spain
Dante,1966,0,Boy,Spain
Felipe,1966,0,Boy,Spain
Eduardo,1966,0,Boy,Spain
Enzo,1966,0,Boy,Spain
Manuel,1966,0,Boy,Spain
Mateo,1966,0,Boy,Spain
Rodrigo,1966,0,Boy,Spain
Andrea,1966,0,Boy,Spain
Angel,1966,0,Boy,Spain
Bastian,1966,0,Boy,Spain
Javier,1966,0,Boy,Spain
Joaquin,1966,0,Boy,Spain
Jules,1966,0,Boy,Spain
Matias,1966,0,Boy,Spain
Noa,1966,0,Boy,Spain
Pablo,1966,0,Boy,Spain
Santiago,1966,0,Boy,Spain
Valentin,1966,0,Boy,Spain
Valentine,1966,13,Boy,Spain
Emilio,1966,0,Boy,Spain
Francisco,1966,0,Boy,Spain
Thiago,1966,0,Boy,Spain
Valentino,1966,0,Boy,Spain
Alvaro,1966,0,Boy,Spain
Gael,1966,0,Boy,Spain
Jorge,1966,0,Boy,Spain
Maximo,1966,0,Boy,Spain
Santino,1966,0,Boy,Spain
Daniel,1967,304,Boy,Spain
Dylan,1967,0,Boy,Spain
Aaron,1967,0,Boy,Spain
Matthew,1967,99,Boy,Spain
David,1967,1125,Boy,Spain
Alex,1967,0,Boy,Spain
Liam,1967,120,Boy,Spain
Samuel,1967,22,Boy,Spain
Ethan,1967,0,Boy,Spain
Noah,1967,0,Boy,Spain
Alexander,1967,16,Boy,Spain
Benjamin,1967,17,Boy,Spain
Christopher,1967,269,Boy,Spain
Alan,1967,376,Boy,Spain
Martin,1967,798,Boy,Spain
Leon,1967,0,Boy,Spain
Oliver,1967,73,Boy,Spain
Leo,1967,41,Boy,Spain
Lucas,1967,0,Boy,Spain
Jacob,1967,0,Boy,Spain
Tomas,1967,9,Boy,Spain
Isaac,1967,0,Boy,Spain
Luca,1967,0,Boy,Spain
Sebastian,1967,0,Boy,Spain
Simon,1967,77,Boy,Spain
Caleb,1967,0,Boy,Spain
Adrian,1967,90,Boy,Spain
Ian,1967,138,Boy,Spain
Gabriel,1967,39,Boy,Spain
Hugo,1967,0,Boy,Spain
Emmanuel,1967,0,Boy,Spain
Nicolas,1967,0,Boy,Spain
Marco,1967,0,Boy,Spain
Milo,1967,0,Boy,Spain
Diego,1967,0,Boy,Spain
Mario,1967,0,Boy,Spain
Antonio,1967,5,Boy,Spain
Leonardo,1967,0,Boy,Spain
Julian,1967,12,Boy,Spain
Marcos,1967,0,Boy,Spain
Miguel,1967,0,Boy,Spain
Pedro,1967,0,Boy,Spain
Damian,1967,116,Boy,Spain
Carlos,1967,0,Boy,Spain
Elias,1967,0,Boy,Spain
Luis,1967,0,Boy,Spain
Rafael,1967,0,Boy,Spain
Salvador,1967,0,Boy,Spain
Axel,1967,0,Boy,Spain
Bruno,1967,0,Boy,Spain
Juan,1967,0,Boy,Spain
Lorenzo,1967,0,Boy,Spain
Alejandro,1967,0,Boy,Spain
Dante,1967,0,Boy,Spain
Felipe,1967,0,Boy,Spain
Eduardo,1967,0,Boy,Spain
Enzo,1967,0,Boy,Spain
Manuel,1967,0,Boy,Spain
Mateo,1967,0,Boy,Spain
Rodrigo,1967,0,Boy,Spain
Andrea,1967,0,Boy,Spain
Angel,1967,0,Boy,Spain
Bastian,1967,0,Boy,Spain
Javier,1967,0,Boy,Spain
Joaquin,1967,0,Boy,Spain
Jules,1967,0,Boy,Spain
Matias,1967,0,Boy,Spain
Noa,1967,0,Boy,Spain
Pablo,1967,0,Boy,Spain
Santiago,1967,0,Boy,Spain
Valentin,1967,0,Boy,Spain
Valentine,1967,10,Boy,Spain
Emilio,1967,0,Boy,Spain
Francisco,1967,0,Boy,Spain
Thiago,1967,0,Boy,Spain
Valentino,1967,0,Boy,Spain
Alvaro,1967,0,Boy,Spain
Gael,1967,0,Boy,Spain
Jorge,1967,0,Boy,Spain
Maximo,1967,0,Boy,Spain
Santino,1967,0,Boy,Spain
Daniel,1968,324,Boy,Spain
Dylan,1968,0,Boy,Spain
Aaron,1968,6,Boy,Spain
Matthew,1968,104,Boy,Spain
David,1968,1149,Boy,Spain
Alex,1968,0,Boy,Spain
Liam,1968,122,Boy,Spain
Samuel,1968,18,Boy,Spain
Ethan,1968,0,Boy,Spain
Noah,1968,0,Boy,Spain
Alexander,1968,30,Boy,Spain
Benjamin,1968,12,Boy,Spain
Christopher,1968,266,Boy,Spain
Alan,1968,444,Boy,Spain
Martin,1968,742,Boy,Spain
Leon,1968,6,Boy,Spain
Oliver,1968,62,Boy,Spain
Leo,1968,31,Boy,Spain
Lucas,1968,0,Boy,Spain
Jacob,1968,0,Boy,Spain
Tomas,1968,4,Boy,Spain
Isaac,1968,3,Boy,Spain
Luca,1968,0,Boy,Spain
Sebastian,1968,0,Boy,Spain
Simon,1968,53,Boy,Spain
Caleb,1968,0,Boy,Spain
Adrian,1968,103,Boy,Spain
Ian,1968,145,Boy,Spain
Gabriel,1968,29,Boy,Spain
Hugo,1968,0,Boy,Spain
Emmanuel,1968,0,Boy,Spain
Nicolas,1968,0,Boy,Spain
Marco,1968,0,Boy,Spain
Milo,1968,0,Boy,Spain
Diego,1968,0,Boy,Spain
Mario,1968,3,Boy,Spain
Antonio,1968,0,Boy,Spain
Leonardo,1968,0,Boy,Spain
Julian,1968,12,Boy,Spain
Marcos,1968,0,Boy,Spain
Miguel,1968,0,Boy,Spain
Pedro,1968,0,Boy,Spain
Damian,1968,93,Boy,Spain
Carlos,1968,0,Boy,Spain
Elias,1968,0,Boy,Spain
Luis,1968,0,Boy,Spain
Rafael,1968,0,Boy,Spain
Salvador,1968,0,Boy,Spain
Axel,1968,0,Boy,Spain
Bruno,1968,0,Boy,Spain
Juan,1968,0,Boy,Spain
Lorenzo,1968,0,Boy,Spain
Alejandro,1968,0,Boy,Spain
Dante,1968,0,Boy,Spain
Felipe,1968,0,Boy,Spain
Eduardo,1968,0,Boy,Spain
Enzo,1968,0,Boy,Spain
Manuel,1968,0,Boy,Spain
Mateo,1968,0,Boy,Spain
Rodrigo,1968,0,Boy,Spain
Andrea,1968,0,Boy,Spain
Angel,1968,0,Boy,Spain
Bastian,1968,0,Boy,Spain
Javier,1968,0,Boy,Spain
Joaquin,1968,0,Boy,Spain
Jules,1968,0,Boy,Spain
Matias,1968,0,Boy,Spain
Noa,1968,0,Boy,Spain
Pablo,1968,0,Boy,Spain
Santiago,1968,0,Boy,Spain
Valentin,1968,0,Boy,Spain
Valentine,1968,11,Boy,Spain
Emilio,1968,0,Boy,Spain
Francisco,1968,0,Boy,Spain
Thiago,1968,0,Boy,Spain
Valentino,1968,0,Boy,Spain
Alvaro,1968,0,Boy,Spain
Gael,1968,0,Boy,Spain
Jorge,1968,0,Boy,Spain
Maximo,1968,0,Boy,Spain
Santino,1968,0,Boy,Spain
Daniel,1969,298,Boy,Spain
Dylan,1969,5,Boy,Spain
Aaron,1969,12,Boy,Spain
Matthew,1969,95,Boy,Spain
David,1969,1127,Boy,Spain
Alex,1969,0,Boy,Spain
Liam,1969,118,Boy,Spain
Samuel,1969,17,Boy,Spain
Ethan,1969,0,Boy,Spain
Noah,1969,0,Boy,Spain
Alexander,1969,21,Boy,Spain
Benjamin,1969,15,Boy,Spain
Christopher,1969,243,Boy,Spain
Alan,1969,517,Boy,Spain
Martin,1969,680,Boy,Spain
Leon,1969,7,Boy,Spain
Oliver,1969,74,Boy,Spain
Leo,1969,34,Boy,Spain
Lucas,1969,0,Boy,Spain
Jacob,1969,0,Boy,Spain
Tomas,1969,10,Boy,Spain
Isaac,1969,0,Boy,Spain
Luca,1969,0,Boy,Spain
Sebastian,1969,0,Boy,Spain
Simon,1969,59,Boy,Spain
Caleb,1969,0,Boy,Spain
Adrian,1969,135,Boy,Spain
Ian,1969,140,Boy,Spain
Gabriel,1969,32,Boy,Spain
Hugo,1969,3,Boy,Spain
Emmanuel,1969,0,Boy,Spain
Nicolas,1969,0,Boy,Spain
Marco,1969,0,Boy,Spain
Milo,1969,0,Boy,Spain
Diego,1969,0,Boy,Spain
Mario,1969,0,Boy,Spain
Antonio,1969,6,Boy,Spain
Leonardo,1969,0,Boy,Spain
Julian,1969,13,Boy,Spain
Marcos,1969,0,Boy,Spain
Miguel,1969,0,Boy,Spain
Pedro,1969,0,Boy,Spain
Damian,1969,139,Boy,Spain
Carlos,1969,4,Boy,Spain
Elias,1969,0,Boy,Spain
Luis,1969,0,Boy,Spain
Rafael,1969,0,Boy,Spain
Salvador,1969,0,Boy,Spain
Axel,1969,0,Boy,Spain
Bruno,1969,0,Boy,Spain
Juan,1969,0,Boy,Spain
Lorenzo,1969,0,Boy,Spain
Alejandro,1969,0,Boy,Spain
Dante,1969,0,Boy,Spain
Felipe,1969,0,Boy,Spain
Eduardo,1969,0,Boy,Spain
Enzo,1969,0,Boy,Spain
Manuel,1969,0,Boy,Spain
Mateo,1969,0,Boy,Spain
Rodrigo,1969,0,Boy,Spain
Andrea,1969,0,Boy,Spain
Angel,1969,0,Boy,Spain
Bastian,1969,0,Boy,Spain
Javier,1969,0,Boy,Spain
Joaquin,1969,0,Boy,Spain
Jules,1969,0,Boy,Spain
Matias,1969,0,Boy,Spain
Noa,1969,0,Boy,Spain
Pablo,1969,0,Boy,Spain
Santiago,1969,0,Boy,Spain
Valentin,1969,0,Boy,Spain
Valentine,1969,9,Boy,Spain
Emilio,1969,0,Boy,Spain
Francisco,1969,0,Boy,Spain
Thiago,1969,0,Boy,Spain
Valentino,1969,0,Boy,Spain
Alvaro,1969,0,Boy,Spain
Gael,1969,0,Boy,Spain
Jorge,1969,0,Boy,Spain
Maximo,1969,0,Boy,Spain
Santino,1969,0,Boy,Spain
Daniel,1970,330,Boy,Spain
Dylan,1970,0,Boy,Spain
Aaron,1970,12,Boy,Spain
Matthew,1970,92,Boy,Spain
David,1970,1160,Boy,Spain
Alex,1970,0,Boy,Spain
Liam,1970,147,Boy,Spain
Samuel,1970,16,Boy,Spain
Ethan,1970,0,Boy,Spain
Noah,1970,0,Boy,Spain
Alexander,1970,16,Boy,Spain
Benjamin,1970,13,Boy,Spain
Christopher,1970,221,Boy,Spain
Alan,1970,567,Boy,Spain
Martin,1970,603,Boy,Spain
Leon,1970,0,Boy,Spain
Oliver,1970,65,Boy,Spain
Leo,1970,33,Boy,Spain
Lucas,1970,0,Boy,Spain
Jacob,1970,0,Boy,Spain
Tomas,1970,18,Boy,Spain
Isaac,1970,0,Boy,Spain
Luca,1970,0,Boy,Spain
Sebastian,1970,5,Boy,Spain
Simon,1970,82,Boy,Spain
Caleb,1970,0,Boy,Spain
Adrian,1970,143,Boy,Spain
Ian,1970,147,Boy,Spain
Gabriel,1970,36,Boy,Spain
Hugo,1970,0,Boy,Spain
Emmanuel,1970,0,Boy,Spain
Nicolas,1970,0,Boy,Spain
Marco,1970,0,Boy,Spain
Milo,1970,0,Boy,Spain
Diego,1970,0,Boy,Spain
Mario,1970,0,Boy,Spain
Antonio,1970,6,Boy,Spain
Leonardo,1970,0,Boy,Spain
Julian,1970,25,Boy,Spain
Marcos,1970,0,Boy,Spain
Miguel,1970,0,Boy,Spain
Pedro,1970,0,Boy,Spain
Damian,1970,126,Boy,Spain
Carlos,1970,3,Boy,Spain
Elias,1970,0,Boy,Spain
Luis,1970,0,Boy,Spain
Rafael,1970,0,Boy,Spain
Salvador,1970,0,Boy,Spain
Axel,1970,0,Boy,Spain
Bruno,1970,0,Boy,Spain
Juan,1970,0,Boy,Spain
Lorenzo,1970,0,Boy,Spain
Alejandro,1970,0,Boy,Spain
Dante,1970,0,Boy,Spain
Felipe,1970,0,Boy,Spain
Eduardo,1970,0,Boy,Spain
Enzo,1970,0,Boy,Spain
Manuel,1970,0,Boy,Spain
Mateo,1970,0,Boy,Spain
Rodrigo,1970,0,Boy,Spain
Andrea,1970,0,Boy,Spain
Angel,1970,0,Boy,Spain
Bastian,1970,0,Boy,Spain
Javier,1970,0,Boy,Spain
Joaquin,1970,0,Boy,Spain
Jules,1970,0,Boy,Spain
Matias,1970,0,Boy,Spain
Noa,1970,0,Boy,Spain
Pablo,1970,0,Boy,Spain
Santiago,1970,0,Boy,Spain
Valentin,1970,0,Boy,Spain
Valentine,1970,15,Boy,Spain
Emilio,1970,0,Boy,Spain
Francisco,1970,0,Boy,Spain
Thiago,1970,0,Boy,Spain
Valentino,1970,0,Boy,Spain
Alvaro,1970,0,Boy,Spain
Gael,1970,0,Boy,Spain
Jorge,1970,0,Boy,Spain
Maximo,1970,0,Boy,Spain
Santino,1970,0,Boy,Spain
Daniel,1971,288,Boy,Spain
Dylan,1971,11,Boy,Spain
Aaron,1971,9,Boy,Spain
Matthew,1971,92,Boy,Spain
David,1971,1269,Boy,Spain
Alex,1971,0,Boy,Spain
Liam,1971,127,Boy,Spain
Samuel,1971,18,Boy,Spain
Ethan,1971,0,Boy,Spain
Noah,1971,0,Boy,Spain
Alexander,1971,32,Boy,Spain
Benjamin,1971,12,Boy,Spain
Christopher,1971,268,Boy,Spain
Alan,1971,569,Boy,Spain
Martin,1971,599,Boy,Spain
Leon,1971,3,Boy,Spain
Oliver,1971,61,Boy,Spain
Leo,1971,51,Boy,Spain
Lucas,1971,0,Boy,Spain
Jacob,1971,0,Boy,Spain
Tomas,1971,19,Boy,Spain
Isaac,1971,3,Boy,Spain
Luca,1971,0,Boy,Spain
Sebastian,1971,3,Boy,Spain
Simon,1971,80,Boy,Spain
Caleb,1971,0,Boy,Spain
Adrian,1971,169,Boy,Spain
Ian,1971,162,Boy,Spain
Gabriel,1971,34,Boy,Spain
Hugo,1971,3,Boy,Spain
Emmanuel,1971,5,Boy,Spain
Nicolas,1971,0,Boy,Spain
Marco,1971,0,Boy,Spain
Milo,1971,0,Boy,Spain
Diego,1971,0,Boy,Spain
Mario,1971,3,Boy,Spain
Antonio,1971,6,Boy,Spain
Leonardo,1971,0,Boy,Spain
Julian,1971,18,Boy,Spain
Marcos,1971,0,Boy,Spain
Miguel,1971,0,Boy,Spain
Pedro,1971,0,Boy,Spain
Damian,1971,130,Boy,Spain
Carlos,1971,0,Boy,Spain
Elias,1971,0,Boy,Spain
Luis,1971,0,Boy,Spain
Rafael,1971,0,Boy,Spain
Salvador,1971,0,Boy,Spain
Axel,1971,0,Boy,Spain
Bruno,1971,0,Boy,Spain
Juan,1971,0,Boy,Spain
Lorenzo,1971,0,Boy,Spain
Alejandro,1971,0,Boy,Spain
Dante,1971,0,Boy,Spain
Felipe,1971,0,Boy,Spain
Eduardo,1971,0,Boy,Spain
Enzo,1971,0,Boy,Spain
Manuel,1971,0,Boy,Spain
Mateo,1971,0,Boy,Spain
Rodrigo,1971,0,Boy,Spain
Andrea,1971,0,Boy,Spain
Angel,1971,0,Boy,Spain
Bastian,1971,0,Boy,Spain
Javier,1971,0,Boy,Spain
Joaquin,1971,0,Boy,Spain
Jules,1971,0,Boy,Spain
Matias,1971,0,Boy,Spain
Noa,1971,0,Boy,Spain
Pablo,1971,0,Boy,Spain
Santiago,1971,0,Boy,Spain
Valentin,1971,0,Boy,Spain
Valentine,1971,15,Boy,Spain
Emilio,1971,0,Boy,Spain
Francisco,1971,0,Boy,Spain
Thiago,1971,0,Boy,Spain
Valentino,1971,0,Boy,Spain
Alvaro,1971,0,Boy,Spain
Gael,1971,0,Boy,Spain
Jorge,1971,0,Boy,Spain
Maximo,1971,0,Boy,Spain
Santino,1971,0,Boy,Spain
Daniel,1972,257,Boy,Spain
Dylan,1972,0,Boy,Spain
Aaron,1972,11,Boy,Spain
Matthew,1972,116,Boy,Spain
David,1972,1253,Boy,Spain
Alex,1972,4,Boy,Spain
Liam,1972,154,Boy,Spain
Samuel,1972,12,Boy,Spain
Ethan,1972,0,Boy,Spain
Noah,1972,0,Boy,Spain
Alexander,1972,23,Boy,Spain
Benjamin,1972,9,Boy,Spain
Christopher,1972,229,Boy,Spain
Alan,1972,646,Boy,Spain
Martin,1972,612,Boy,Spain
Leon,1972,5,Boy,Spain
Oliver,1972,64,Boy,Spain
Leo,1972,37,Boy,Spain
Lucas,1972,0,Boy,Spain
Jacob,1972,0,Boy,Spain
Tomas,1972,15,Boy,Spain
Isaac,1972,0,Boy,Spain
Luca,1972,0,Boy,Spain
Sebastian,1972,4,Boy,Spain
Simon,1972,113,Boy,Spain
Caleb,1972,0,Boy,Spain
Adrian,1972,184,Boy,Spain
Ian,1972,189,Boy,Spain
Gabriel,1972,34,Boy,Spain
Hugo,1972,3,Boy,Spain
Emmanuel,1972,6,Boy,Spain
Nicolas,1972,0,Boy,Spain
Marco,1972,0,Boy,Spain
Milo,1972,0,Boy,Spain
Diego,1972,0,Boy,Spain
Mario,1972,0,Boy,Spain
Antonio,1972,4,Boy,Spain
Leonardo,1972,0,Boy,Spain
Julian,1972,17,Boy,Spain
Marcos,1972,0,Boy,Spain
Miguel,1972,0,Boy,Spain
Pedro,1972,0,Boy,Spain
Damian,1972,126,Boy,Spain
Carlos,1972,0,Boy,Spain
Elias,1972,0,Boy,Spain
Luis,1972,0,Boy,Spain
Rafael,1972,0,Boy,Spain
Salvador,1972,0,Boy,Spain
Axel,1972,0,Boy,Spain
Bruno,1972,0,Boy,Spain
Juan,1972,0,Boy,Spain
Lorenzo,1972,0,Boy,Spain
Alejandro,1972,0,Boy,Spain
Dante,1972,0,Boy,Spain
Felipe,1972,0,Boy,Spain
Eduardo,1972,0,Boy,Spain
Enzo,1972,0,Boy,Spain
Manuel,1972,0,Boy,Spain
Mateo,1972,0,Boy,Spain
Rodrigo,1972,0,Boy,Spain
Andrea,1972,0,Boy,Spain
Angel,1972,0,Boy,Spain
Bastian,1972,0,Boy,Spain
Javier,1972,0,Boy,Spain
Joaquin,1972,0,Boy,Spain
Jules,1972,0,Boy,Spain
Matias,1972,0,Boy,Spain
Noa,1972,0,Boy,Spain
Pablo,1972,0,Boy,Spain
Santiago,1972,0,Boy,Spain
Valentin,1972,0,Boy,Spain
Valentine,1972,11,Boy,Spain
Emilio,1972,0,Boy,Spain
Francisco,1972,0,Boy,Spain
Thiago,1972,0,Boy,Spain
Valentino,1972,0,Boy,Spain
Alvaro,1972,0,Boy,Spain
Gael,1972,0,Boy,Spain
Jorge,1972,0,Boy,Spain
Maximo,1972,0,Boy,Spain
Santino,1972,0,Boy,Spain
Daniel,1973,285,Boy,Spain
Dylan,1973,9,Boy,Spain
Aaron,1973,20,Boy,Spain
Matthew,1973,99,Boy,Spain
David,1973,1262,Boy,Spain
Alex,1973,5,Boy,Spain
Liam,1973,169,Boy,Spain
Samuel,1973,21,Boy,Spain
Ethan,1973,0,Boy,Spain
Noah,1973,0,Boy,Spain
Alexander,1973,22,Boy,Spain
Benjamin,1973,9,Boy,Spain
Christopher,1973,251,Boy,Spain
Alan,1973,605,Boy,Spain
Martin,1973,605,Boy,Spain
Leon,1973,9,Boy,Spain
Oliver,1973,57,Boy,Spain
Leo,1973,33,Boy,Spain
Lucas,1973,0,Boy,Spain
Jacob,1973,0,Boy,Spain
Tomas,1973,17,Boy,Spain
Isaac,1973,0,Boy,Spain
Luca,1973,0,Boy,Spain
Sebastian,1973,0,Boy,Spain
Simon,1973,108,Boy,Spain
Caleb,1973,0,Boy,Spain
Adrian,1973,229,Boy,Spain
Ian,1973,216,Boy,Spain
Gabriel,1973,24,Boy,Spain
Hugo,1973,3,Boy,Spain
Emmanuel,1973,5,Boy,Spain
Nicolas,1973,0,Boy,Spain
Marco,1973,0,Boy,Spain
Milo,1973,0,Boy,Spain
Diego,1973,0,Boy,Spain
Mario,1973,3,Boy,Spain
Antonio,1973,0,Boy,Spain
Leonardo,1973,0,Boy,Spain
Julian,1973,17,Boy,Spain
Marcos,1973,0,Boy,Spain
Miguel,1973,0,Boy,Spain
Pedro,1973,0,Boy,Spain
Damian,1973,168,Boy,Spain
Carlos,1973,3,Boy,Spain
Elias,1973,0,Boy,Spain
Luis,1973,0,Boy,Spain
Rafael,1973,0,Boy,Spain
Salvador,1973,0,Boy,Spain
Axel,1973,0,Boy,Spain
Bruno,1973,0,Boy,Spain
Juan,1973,0,Boy,Spain
Lorenzo,1973,0,Boy,Spain
Alejandro,1973,0,Boy,Spain
Dante,1973,0,Boy,Spain
Felipe,1973,0,Boy,Spain
Eduardo,1973,0,Boy,Spain
